Név;Kategória;Ár
"ALLon4 cirkon híd csavarozott Nobel Implantátumokra";"Dental Excellence";1
"Allon6 csavarozott cirkon híd NOBEL implantátumokra";"Dental Excellence";2
"Átmenő csavarral implantátumon rögzülő cirkon fémmentes korona ( Dental Excellence)";"Dental Excellence";3
"Átmenőcsavaros ideiglenes korona implantátumra";"Dental Excellence";4
"Átmenőcsavaros rögzítésű fém kerámia korona implantátumhoz";"Dental Excellence";5
"Belső fogfehérítés 1 fogon";"Dental Excellence";6
"Biomimetikus Everix rövidüvegszálas kompozit megerősítés";"Dental Excellence";7
"Biomimetikus ládaemelés";"Dental Excellence";8
"Biomimetikus Ribbond polietilén rost stabilizálás";"Dental Excellence";9
"Biomimetikus Tömés ( Dental Excellence )";"Dental Excellence";10
"BPS – biofunkcionális protézis individualizált alaplemezzel (egy állcsont készítése esetén)";"Dental Excellence";11
"BPS Fogsor alábélelés";"Dental Excellence";12
"E-max héjak";"Dental Excellence";13
"E-max koronák";"Dental Excellence";14
"Egyéni kedvezmény - amennyiben vállalja, hogy videófelvételt készíthetünk marketing célokra";"Dental Excellence";15
"Felépítő fej Nobel implantátumhoz";"Dental Excellence";16
"Fém kerámia korona ( Dental Excellence )";"Dental Excellence";17
"Fém lemezes fogsor";"Dental Excellence";18
"Fémmentes cirkon hidak és koronák";"Dental Excellence";19
"Fogkőleszedés és Prophy Jet polírozás -Gyermek ( Dental Excellence )";"Dental Excellence";20
"Fogkőleszedés és Prophy Jet polírozás felnőtt ( Dental Excellence )";"Dental Excellence";21
"Fogpróba";"Dental Excellence";22
"Fogszorítás terápia ( Az ár tartalmazza a scannelést , harapás rögzítést , ízületi bemérést és NTI-t . Garancia egy hónapon belül 100.000 Ft visszafizetés, amennyiben nem válik be a készülék. )";"Dental Excellence";23
"Frontfog tömés 3 felszín";"Dental Excellence";24
"Frontfog tömés egy vagy két felszínű";"Dental Excellence";25
"Gyökércsatorna átöblítés és gyógyszeres zárás - Dental Excellence";"Dental Excellence";26
"Gyökérkezelés gyökértöméssel front fogon -Dental Excellent ( Kezelés megkezdése 60.000 Ft, gyökértömés 60.000 FT )";"Dental Excellence";27
"Gyökérkezelés gyökértöméssel kisörlő fogon - Dental Excellence. ( Kezelés megkezdése 80.000Ft gyökértömés 80.000Ft ) Ft";"Dental Excellence";28
"Gyökérkezelés gyökértöméssel nagyőrlő fogon -Dental Excellence ( Kezelés megkezdése 90.000Ft , gyökértömés 90.000 Ft )";"Dental Excellence";29
"Horkolás terápia ( Az ár tartalmazza a scannelést, harapás rögzítést és esetleg ízületi bemérést. Garancia: egy hónapon belül 100.000 Ft-ot fizetünk vissza , ha nem válik be a készülék)";"Dental Excellence";30
"Hosszútávú ideiglenes híd Ivotion erősített implantátumra csavarozott rögzítéssel egy teljes állcsonton";"Dental Excellence";31
"Hosszútávú ideiglenes szóló korona - labor által készített";"Dental Excellence";32
"Ideiglenes felépítőfej NOBEL";"Dental Excellence";33
"Ideiglenes tömés üvgionomer tömőanyaggal";"Dental Excellence";34
"Implantátumra hosszútávú CAD-CAM ideiglenes korona Nobel felépítménnyel és titán bázissal";"Dental Excellence";35
"Kezelési terv elkészítése (dr. Volom András)";"Dental Excellence";36
"Kiegészítő sín 1 fogívre";"Dental Excellence";37
"Kisőrlő tömés 2 vagy több felszín";"Dental Excellence";38
"Kisőrlő tömés egy felszín";"Dental Excellence";39
"Kiterjesztett barázdazárás";"Dental Excellence";40
"Kontroll -Orvosnál ( 30 perc )";"Dental Excellence";41
"Kontroll ( 15 perc )";"Dental Excellence";42
"Konzultáció 30 perc";"Dental Excellence";43
"Konzultáció dr. Volom Andrásnál";"Dental Excellence";44
"Konzultáció- Orvosnál ( 30 perc )";"Dental Excellence";45
"Lokátoros kivehető fogsor két implantátumon";"Dental Excellence";46
"Nagyörlő tömés egy felszín";"Dental Excellence";47
"Nagyőrlő tömés két vagy több felszín";"Dental Excellence";48
"Preparálás";"Dental Excellence";49
"Prophy Jet polírozás ( Dental Excellence )";"Dental Excellence";50
"Régi gyökértömés eltávolítása frontfog esetén - Dental Excellence";"Dental Excellence";51
"Régi gyökértömés eltávolítása kisörlő esetén / csatorna - Dental Excellence";"Dental Excellence";52
"Régi gyökértömés eltávolítása nagyörlő esetén / csatorna - Dental Excellence";"Dental Excellence";53
"Renamel direkt héjak belső színezéssel, Dental excellence";"Dental Excellence";54
"Scannelés - 1 fogív";"Dental Excellence";55
"Scannelés + 3 D nyomtatott minta alsó felső";"Dental Excellence";56
"Stéges kivehető fogpótlás 4 implantátumon";"Dental Excellence";57
"Stéges kivehető fogpótlás 6 implantátumon";"Dental Excellence";58
"Szájhigiénés felmérés , tanácsadás, fogkőleszedés és Prophy Jet polírozás- Gyermek ( Dental Excellence )";"Dental Excellence";59
"Szájhigiénés felmérés és tanácsadás, fogmosás oktatás ( Dental Excellence 30 perc )";"Dental Excellence";60
"Szájhigiénés felmérés, tanácsadás, fogkőleszedés és Prophy Jet polírozás -felnőtt és rögzített fogszabályozós gyermek ( Dental Excellence )";"Dental Excellence";61
"Transmularis ribbondsínezés foganként";"Dental Excellence";62
"Variokugel elhorgonyzás";"Dental Excellence";63
"Vázpróba";"Dental Excellence";64
"Depurálás - Professzionális fogkőeltávolítás és Prophy Jet polírozás -felnőtt és rögzített fogszabályozós gyermek";"Dentálhigiénia";65
"Depurálás-Professzionális fogkőeltávolítás és Propy Jet polírozás-Gyermek";"Dentálhigiénia";66
"Fogselyem gyári villa";"Dentálhigiénia";67
"Íny alatti fogkőeltávolítás érzéstelenítéssel / kvadránsonként";"Dentálhigiénia";68
"Oral b egycsomós Genius";"Dentálhigiénia";69
"Parodontális zárt kürett, negyedenként";"Dentálhigiénia";70
"Polírozás fogászati Prohy Jet homokfúvó készülékkel";"Dentálhigiénia";71
"Polírozás fogászati Prophy Jet homokfúvó készülékkel -gyermek";"Dentálhigiénia";72
"Root planning (gyökérfelszínsimítás, negyedenként:pl. bal felső fogak összessége)";"Dentálhigiénia";73
"Sonicflex tasakkezelés teljes fogazatra";"Dentálhigiénia";74
"Szájhigiénés felmérés és tanácsadás , fogmosás oktatás ( 30 perc )";"Dentálhigiénia";75
"Szájhigiénés felmérés, tanácsadás, fogkőleszedés és Prophy Jet polírozás -Gyermek";"Dentálhigiénia";76
"Szájhigiénés felmérés, tanácsadás, fogkőleszedés és Prophy Jet polírozás-felnőtt vagy rögzített fogszabályozós gyermek";"Dentálhigiénia";77
"szájzuhany pótfej orr átöblítéshez";"Dentálhigiénia";78
"Waterpik ION vezeték nélküli szájzuhany";"Dentálhigiénia";79
"Anyagköltség";"Egyéb";80
"Egyéb";"Egyéb";81
"Írásos összefoglaló rágóizom relaxációhoz";"Egyéb";82
"Késői lemondási díj";"Egyéb";83
"Készenléti díj/fél óránként";"Egyéb";84
"Legközelebbi időpont";"Egyéb";85
"NOGAG hányinger elleni por 5db";"Egyéb";86
"Nyílhegy regisztrálás";"Egyéb";87
"Pénzvisszafizetés";"Egyéb";88
"Rágóizomrelaxáció ergonómiai szaktanácsadás";"Egyéb";89
"Szállítási díj, csomagfeladás díja";"Egyéb";90
"Lenyomati díj";"előrefizetve";91
"Fehérítő zselé (1 doboz = 4 fecskendő)";"Fogékszer, fogfehérítés";92
"Fehérítősín készítése 2 fogívre alginát lenyomatra vagy scannelés";"Fogékszer, fogfehérítés";93
"Fogékszer/db";"Fogékszer, fogfehérítés";94
"Fogfehérítés, sínes, két hetes, otthoni, alsó, felső fogíven. ( Tartalmazza a lenyomat vagy scannelés ,a sín és fehérítő anyag árát )";"Fogékszer, fogfehérítés";95
"Rendelői fogfehérítés";"Fogékszer, fogfehérítés";96
"A precíziós elhorgonyzású fogművekhez tartozó rögzített koronák ára tagonként (fém kerámia korona)";"Fogpótlások";97
"Átmenőcsavaros cirkon korona implantátumokba/db";"Fogpótlások";98
"Átmenőcsavaros ideiglenes korona Nobel ideiglenes felépítményre";"Fogpótlások";99
"Betét -inlay, onlay";"Fogpótlások";100
"BPS – biofunkcionális protézis (egy állcsont esetén)";"Fogpótlások";101
"BPS – biofunkcionális protézis individualizált alaplemezzel (állcsontonként, alsó-felső készítése esetén))";"Fogpótlások";102
"Cirkon korona , Empress, E-max fémmentes korona, hídtag /db";"Fogpótlások";103
"E-max porcelán héj";"Fogpótlások";104
"Felépítő fej Alpha Bio implantátumhoz/db, implantátumonként";"Fogpótlások";105
"Felépítő fej Dentium implantátumhoz / db";"Fogpótlások";106
"Fém kerámia korona";"Fogpótlások";107
"Fémlemez, öntött állcsontonként";"Fogpótlások";108
"Fogmű átadás";"Fogpótlások";109
"Fogsor javítás BPS";"Fogpótlások";110
"Gradia GC , vagy SRNexco korona";"Fogpótlások";111
"Hosszútávú ideiglenes korona átmenőcsavaros implantátumra - labor által készített";"Fogpótlások";112
"Hosszútávú ideiglenes korona foganként - labor által készített";"Fogpótlások";113
"Ideiglenes fogsor 3D amíg a gyógyulási fázis tart / állcsontonként";"Fogpótlások";114
"Ideiglenes fogsor akrilát Ivoclar fogakkal amíg a gyógyulási fázis tart / állcsontonként Ducza";"Fogpótlások";115
"Ideiglenes híd készítés A1, vagy A3-as fóliából, állcsontonként";"Fogpótlások";116
"Ideiglenes korona foganként, rendelő által készített";"Fogpótlások";117
"Ideiglenes visszaragasztás";"Fogpótlások";118
"Inlay elhorgonyzású cirkon híd egy fog pótlása esetén";"Fogpótlások";119
"Kivehető akrilát fogsor egy állcsonton";"Fogpótlások";120
"Korona levétel átvágott koronánként";"Fogpótlások";121
"Korona visszaragasztás végleges";"Fogpótlások";122
"Lenyomat és vákumformázott sín ideiglenes fogműhöz";"Fogpótlások";123
"Lenyomati díj egyéni kanállal, állcsontonként";"Fogpótlások";124
"Lenyomati díj precíziós szilikon lenyomattal állcsontonként";"Fogpótlások";125
"Maryland híd";"Fogpótlások";126
"Merevítőrostos direkt hidak, foganként, v. tartóelemként. Fogorvos készíti. Egy fog hiánya esetén 3×45 000.- Ft (Két tartófog+hiány)";"Fogpótlások";127
"Mozgó fogak ideiglenes sínezéses merevítése , foganként";"Fogpótlások";128
"Nyerspróba";"Fogpótlások";129
"Porcelán borítású fémkorona";"Fogpótlások";130
"Precíziós elhorgonyzású fogmű fém alaplemeze( a hozzá tartozó híd ára nélkül, a precíziós elem nélkül )";"Fogpótlások";131
"Precíziós lenyomat alapján injektálásos technikával készülő kivehető műanyag ideiglenes fogpótlás 3 fog felett";"Fogpótlások";132
"Precíziós lenyomat alapján injektálásos technikával készülő kivehető műanyag ideiglenes fogpótlás 3 fogig";"Fogpótlások";133
"Precíziós rögzítőelem";"Fogpótlások";134
"Protetikai munka beragasztása, átadása";"Fogpótlások";135
"Részleges kivehető fogpótlás";"Fogpótlások";136
"RSVP ideiglenes héj";"Fogpótlások";137
"Sapka ideiglenes célból";"Fogpótlások";138
"Sapkapróba";"Fogpótlások";139
"Tanulmányi lenyomat, állcsontonként alginát lenyomatanyagból";"Fogpótlások";140
"Teleszkóp korona(CAD/CAM primer+secunder) foganként";"Fogpótlások";141
"Valplast 1 fogas szomszédos fogak megléte esetén";"Fogpótlások";142
"Valplast 3-4 fogas részleges";"Fogpótlások";143
"Valplast fogsor";"Fogpótlások";144
"Valplast javítása foganként";"Fogpótlások";145
"Valplast részleges 1-2 fogas front";"Fogpótlások";146
"Veneer-lay";"Fogpótlások";147
"3D digitális terv és konzultáció (anyagok eljuttatása az invisalignhoz, tervkészítés)";"Fogszabályozás";148
"Brackett visszaragasztás az elveszett fém brackett pótlásával";"Fogszabályozás";149
"Brackett visszaragasztása/db";"Fogszabályozás";150
"Brackett visszaragsztás az elveszett porcelán brackett pótlásával";"Fogszabályozás";151
"BWS 1 fogívre";"Fogszabályozás";152
"D-Gainer";"Fogszabályozás";153
"Delaire maszk";"Fogszabályozás";154
"Ferdesík";"Fogszabályozás";155
"ferdesík levágása";"Fogszabályozás";156
"Fix retainer";"Fogszabályozás";157
"Fix retainer cseréje";"Fogszabályozás";158
"Fix retainer javítása";"Fogszabályozás";159
"Fogszabályozási célból készített fotó dokumentáció és digitális lenyomatok készítése";"Fogszabályozás";160
"Fogszabályozó páciens vizsgálat";"Fogszabályozás";161
"Gumicsere ívenként (nem önligírozó készüléknél)";"Fogszabályozás";162
"Hyrax";"Fogszabályozás";163
"Ív és gumicsere 2 fogív";"Fogszabályozás";164
"Ív és gumicsere egy fogív";"Fogszabályozás";165
"Ívcsere ívenként";"Fogszabályozás";166
"Ívcsere ívenként esztétikus rögzített fogszabályzónál";"Fogszabályozás";167
"Ívpótlás -fém";"Fogszabályozás";168
"Ívpótlás -lingual";"Fogszabályozás";169
"Ívpótlás kerámia";"Fogszabályozás";170
"Készülék eltávolítás";"Fogszabályozás";171
"Kiegészítő készülék kiegészítő kezelés";"Fogszabályozás";172
"Kivehető fogszabályozó készülék típustól függően egy fogívre";"Fogszabályozás";173
"Kivehető fogszabályozó készülék, bimaxilláris";"Fogszabályozás";174
"Kivehető készülék kontroll - 1 készülék";"Fogszabályozás";175
"Kivehető készülék kontroll - 2 készülék";"Fogszabályozás";176
"Kivehető retainer egy fogívre";"Fogszabályozás";177
"Kontroll Invisaligne";"Fogszabályozás";178
"Kontroll készülék nélkül";"Fogszabályozás";179
