NĂ©v;KategĂłria;Aliasok
"ElsĹ‘ komplex fogorvosi vizsgĂˇlat";"VizsgĂˇlat Ă©s diagnosztika";"elsĹ‘ vizsgĂˇlat|komplex vizsgĂˇlat|st.praes.|stomatolĂłgiai vizsgĂˇlat|fogĂˇszati alapvizsgĂˇlat"
"Kontroll vizsgĂˇlat (15 perc)";"VizsgĂˇlat Ă©s diagnosztika";"kontroll|kontroll 15|rĂ¶vid kontroll|recall"
"Kontroll vizsgĂˇlat (30 perc)";"VizsgĂˇlat Ă©s diagnosztika";"kontroll 30|hosszĂş kontroll"
"SĂĽrgĹ‘ssĂ©gi vizsgĂˇlat";"VizsgĂˇlat Ă©s diagnosztika";"akut|sĂĽrgĹ‘ssĂ©gi|ĂĽgyeleti|fĂˇjdalom miatti vizsgĂˇlat"
"KonzultĂˇciĂł (15 perc)";"VizsgĂˇlat Ă©s diagnosztika";"konz|konzi|rĂ¶vid konzultĂˇciĂł|tanĂˇcsadĂˇs"
"KonzultĂˇciĂł (30 perc)";"VizsgĂˇlat Ă©s diagnosztika";"konz 30|standard konzultĂˇciĂł"
"KonzultĂˇciĂł (60 perc)";"VizsgĂˇlat Ă©s diagnosztika";"konz 60|hosszĂş konzultĂˇciĂł|rĂ©szletes konzultĂˇciĂł"
"Online/videĂł konzultĂˇciĂł";"VizsgĂˇlat Ă©s diagnosztika";"online konzi|skype konz|zoom konzultĂˇciĂł|tĂˇvkonzultĂˇciĂł"
"MĂˇsodik vĂ©lemĂ©ny konzultĂˇciĂł";"VizsgĂˇlat Ă©s diagnosztika";"second opinion|vĂ©lemĂ©nykĂ©rĂ©s|szakorvosi vĂ©lemĂ©ny"
"IsmĂ©tlĹ‘ konzultĂˇciĂł";"VizsgĂˇlat Ă©s diagnosztika";"ismĂ©tlĹ‘ konzi|Ăşjabb konzultĂˇciĂł|follow-up konzultĂˇciĂł"
"PĂˇciens dokumentĂˇciĂł kiĂˇllĂ­tĂˇsa";"VizsgĂˇlat Ă©s diagnosztika";"dokumentĂˇciĂł|leĂ­rĂˇs|kĂłrleĂ­rĂˇs|orvosi igazolĂˇs"
"SzakvĂ©lemĂ©ny kiĂˇllĂ­tĂˇsa";"VizsgĂˇlat Ă©s diagnosztika";"szakvĂ©lemĂ©ny|igazolĂˇs|orvosi szakvĂ©lemĂ©ny"
"GĂłckutatĂˇs (CBCT/OP elemzĂ©s alapjĂˇn)";"VizsgĂˇlat Ă©s diagnosztika";"gĂłckutatĂˇs|gĂłcvizsgĂˇlat|fĂłkuszvizsgĂˇlat"
"VitalitĂˇsvizsgĂˇlat";"VizsgĂˇlat Ă©s diagnosztika";"vitalitĂˇs|vitĂˇlteszt|hidegteszt|electric pulp test|EPT"
"OP panorĂˇma rĂ¶ntgen";"VizsgĂˇlat Ă©s diagnosztika";"OP|panorĂˇma|panorĂˇmarĂ¶ntgen|orthopantomogram|OPG"
"PA fogĂˇszati rĂ¶ntgen";"VizsgĂˇlat Ă©s diagnosztika";"PA|kis rĂ¶ntgen|periapikĂˇlis|fogfilm|RTG"
"Bitewing rĂ¶ntgen";"VizsgĂˇlat Ă©s diagnosztika";"bitewing|harapĂˇsi rĂ¶ntgen|szĂˇrnyas rĂ¶ntgen"
